common_name ,scientific_name,functional_group,importance,type,var,lower,upper
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,Shackell,temp,,
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,Shackell,temp,,
Copepod (1),Calanus glacialis,Zooplankton,Important food source,Shackell,temp,,
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,Shackell,temp,,
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,Shackell,temp,,
Cusk,Brosme brosme,Piscivore,Endangered species,Shackell,temp,,
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,Shackell,temp,1,13
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,Shackell,temp,,
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,Shackell,temp,,
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,Shackell,temp,,
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,Shackell,temp,,
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,Shackell,temp,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,Shackell,temp,0,8
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,Shackell,temp,,
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,Shackell,temp,,
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,Shackell,temp,3,8
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,Shackell,temp,,
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,Shackell,temp,,
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,Shackell,temp,-1,4
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,Shackell,temp,,
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,Shackell,temp,,
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,Shackell,temp,,
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,Shackell,temp,,
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,Shackell,temp,,
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,Shackell,temp,,
American lobster,Homarus americanus,Decapod,Commercially fished,OBIS,depth,7.32,32.92
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,OBIS,depth,59.7,350.5
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,OBIS,depth,58.5,339
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,OBIS,depth,58.5,319.85
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,OBIS,depth,65,325.5
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,OBIS,depth,0,0
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,OBIS,depth,,
Copepod (1),Calanus glacialis,Zooplankton,Important food source,OBIS,depth,7.5,210
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,OBIS,depth,7.5,175.29
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,OBIS,depth,57.6,398.9
Cusk,Brosme brosme,Piscivore,Endangered species,OBIS,depth,95.35,383.45
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,OBIS,depth,56.5,220
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,OBIS,depth,32,115.3
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,OBIS,depth,6,250
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,OBIS,depth,60.55,334
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,OBIS,depth,0,0.8
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,OBIS,depth,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,OBIS,depth,80.79,352.8
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,OBIS,depth,46,244.5
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,OBIS,depth,580,1592.5
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,OBIS,depth,63.375,216
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,OBIS,depth,127,570
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,OBIS,depth,84.1248,417
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,OBIS,depth,77.5,373.5
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,OBIS,depth,39.5,223
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,OBIS,depth,65.5,440.5
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,OBIS,depth,59.68,397.5
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,OBIS,depth,,
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,OBIS,depth,32.5,138
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,OBIS,depth,80.695,486
