"climate_proj","species","benchmark","max","min","comp","id","functional_group","facet_lab"
"8-5","Hyperoodon ampullatus",2050,NA,NA,0,"8-5-2050-Hyperoodon ampullatus","Mammals/Reptiles","RCP 8.5"
"8-5","Pandalus borealis",2050,NA,NA,0,"8-5-2050-Pandalus borealis","Benthic Invertebrates","RCP 8.5"
"8-5","Lamna nasus",2050,NA,NA,0,"8-5-2050-Lamna nasus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Squalus acanthias",2050,NA,NA,0,"8-5-2050-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Urophycis tenuis",2050,NA,NA,0,"8-5-2050-Urophycis tenuis","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Carcharodon carcharias",2050,NA,NA,0,"8-5-2050-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Leucoraja ocellata",2050,NA,NA,0,"8-5-2050-Leucoraja ocellata","Benthic fish","RCP 8.5"
"8-5","Homarus americanus",2075,NA,NA,0,"8-5-2075-Homarus americanus","Benthic Invertebrates","RCP 8.5"
"8-5","Cetorhinus maximus",2075,NA,NA,0,"8-5-2075-Cetorhinus maximus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Balaenoptera musculus",2075,NA,NA,0,"8-5-2075-Balaenoptera musculus","Mammals/Reptiles","RCP 8.5"
"8-5","Illex illecebrosus",2075,NA,NA,0,"8-5-2075-Illex illecebrosus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Leucoraja erinacea",2075,NA,NA,0,"8-5-2075-Leucoraja erinacea","Benthic fish","RCP 8.5"
"8-5","Caretta caretta",2075,NA,NA,0,"8-5-2075-Caretta caretta","Mammals/Reptiles","RCP 8.5"
"8-5","Lophius americanus",2075,NA,NA,0,"8-5-2075-Lophius americanus","Benthic fish","RCP 8.5"
"8-5","Eubalaena glacialis",2075,NA,NA,0,"8-5-2075-Eubalaena glacialis","Mammals/Reptiles","RCP 8.5"
"8-5","Hyperoodon ampullatus",2075,NA,NA,0,"8-5-2075-Hyperoodon ampullatus","Mammals/Reptiles","RCP 8.5"
"8-5","Lamna nasus",2075,NA,NA,0,"8-5-2075-Lamna nasus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Squalus acanthias",2075,NA,NA,0,"8-5-2075-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Carcharodon carcharias",2075,NA,NA,0,"8-5-2075-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Homarus americanus",2100,NA,NA,0,"8-5-2100-Homarus americanus","Benthic Invertebrates","RCP 8.5"
"8-5","Cetorhinus maximus",2100,NA,NA,0,"8-5-2100-Cetorhinus maximus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Balaenoptera musculus",2100,NA,NA,0,"8-5-2100-Balaenoptera musculus","Mammals/Reptiles","RCP 8.5"
"8-5","Illex illecebrosus",2100,NA,NA,0,"8-5-2100-Illex illecebrosus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Caretta caretta",2100,NA,NA,0,"8-5-2100-Caretta caretta","Mammals/Reptiles","RCP 8.5"
"8-5","Lophius americanus",2100,NA,NA,0,"8-5-2100-Lophius americanus","Benthic fish","RCP 8.5"
"8-5","Eubalaena glacialis",2100,NA,NA,0,"8-5-2100-Eubalaena glacialis","Mammals/Reptiles","RCP 8.5"
"8-5","Hyperoodon ampullatus",2100,NA,NA,0,"8-5-2100-Hyperoodon ampullatus","Mammals/Reptiles","RCP 8.5"
"8-5","Lamna nasus",2100,NA,NA,0,"8-5-2100-Lamna nasus","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Squalus acanthias",2100,NA,NA,0,"8-5-2100-Squalus acanthias","Pelagic Fish/Cepholopods","RCP 8.5"
"8-5","Carcharodon carcharias",2100,NA,NA,0,"8-5-2100-Carcharodon carcharias","Pelagic Fish/Cepholopods","RCP 8.5"
