common,sci.name,group,details,var,source,lwr,upr
Cusk,Brosme brosme,Piscivore,Endangered species,temp,obis,,
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,temp,obis,,
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,temp,obis,,
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,temp,obis,,
Monkfish,Lophius americanus,Piscivore,Commercially fished/Sensitive population,temp,obis,,
North Atlantic Right whale,Eubalaena glacialis,Planktivore,Critically Endangered,temp,obis,,
Northern Bottlenose whale,Hyperoodon ampullatus,Piscivore,Depleted species,temp,obis,,
Northern shrimp,Pandalus borealis,Planktivore,Commercially fished,temp,obis,,
(ESS/WSS)pollock,Pollachius virens,Piscivore,Commercially fished/Sensitive population,temp,obis,,
Porbeagle shark,Lamna nasus,Piscivore,Vulnerable species,temp,obis,,
Redfish species (1),Sebastes fasciatus,Piscivore,Commercially fished/Endangered,temp,obis,,
Redfish species (2),Sebastes mentella,Piscivore,Commercially fished/Endangered,temp,obis,,
Smooth skate,Malacoraja senta,Medium benthivore,Special concern,temp,obis,,
Snow crab,Chionoecetes opilio,Decapod,Commercially fished,temp,obis,,
Spiny dogfish,Squalus acanthias,Piscivore,Commercially fished/Threatened,temp,obis,,
Thorny skate,Amblyraja radiata,Large benthivore,Special concern,temp,obis,,
White hake,Urophycis tenuis,Piscivore,Commercially fished/Threatened,temp,obis,,
White shark,Carcharodon carcharias,Carnivore,Vulnerable species,temp,obis,,
Winter skate,Leucoraja ocellata,Large benthivore,Threatened,temp,obis,,
Witch flounder,Glyptocephalus cynoglossus,Medium benthivore,Commercially fished/Sensitive population,temp,obis,,
American lobster,Homarus americanus,Decapod,Commercially fished,depth,aquamaps,4,50
American plaice,Hippoglossoides platessoides,Large benthivore,Commercially fished/Endangered,depth,aquamaps,90,250
(ESS/WSS) Atlantic cod,Gadus morhua,Piscivore,Commercially fished/Endangered,depth,aquamaps,20,200
Atlantic halibut,Hippoglossus hippoglossus,Piscivore,Commercially fished,depth,aquamaps,313,864
Atlantic wolffish,Anarhichas lupus,Large benthivore,Special concern,depth,aquamaps,1,500
Basking shark,Cetorhinus maximus,Planktivore,Endangered species,depth,aquamaps,0,834
Blue whale,Balaenoptera musculus,Piscivore,Endangered species,depth,aquamaps,1000,4000
Copepod (1),Calanus glacialis,Zooplankton,Important food source,depth,aquamaps,,
Copepod (2),Calanus finmarchicus,Zooplankton,Important food source,depth,aquamaps,423,1221
Common shortfin squid,Illex illecebrosus,Piscivore,Important food source,depth,aquamaps,126,434
Cusk,Brosme brosme,Piscivore,Endangered species,depth,aquamaps,18,549
(ESS/WSS)haddock,Melanogrammus aeglefinus,Large benthivore,Commercially fished,depth,aquamaps,10,200
Little skate,Leucoraja erinacea,Medium benthivore,Sensitive population,depth,aquamaps,37,152
Loggerhead turtle,Caretta caretta,Piscivore,Vulnerable species,depth,aquamaps,0,40
