"","climate_proj","mod","NAME","species","ToE","count"
"465","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Chionoecetes opilio",2015,1
"466","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossoides platessoides",2067,1
"467","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Hippoglossus hippoglossus",2044,1
"468","2.6","Ensemble","Machias Seal Island Migratory Bird Sanctuary","Malacoraja senta",2063,1
"469","2.6","Ensemble","Misaine Bank and Laurentian Channel","Chionoecetes opilio",2066,1
"470","2.6","Ensemble","North of Emerald Basin Sea Pen Field","Chionoecetes opilio",2044,1
"471","2.6","Ensemble","Northeast Channel Coral Conservation Area","Amblyraja radiata",2044,1
"472","2.6","Ensemble","Northeast Channel Coral Conservation Area","Brosme brosme",2065,1
"473","2.6","Ensemble","Northeast Channel Coral Conservation Area","Hippoglossoides platessoides",2044,1
"474","2.6","Ensemble","Northeast Channel Coral Conservation Area","Hippoglossus hippoglossus",2039,1
"475","2.6","Ensemble","Northeast Channel Coral Conservation Area","Malacoraja senta",2044,1
"476","2.6","Ensemble","Northeast Channel Coral Conservation Area","Sebastes fasciatus",2065,1
"477","2.6","Ensemble","Northern Gulf of Maine","Amblyraja radiata",2048,1
"478","2.6","Ensemble","Northern Gulf of Maine","Chionoecetes opilio",2015,1
"479","2.6","Ensemble","Northern Gulf of Maine","Hippoglossus hippoglossus",2044,1
"480","2.6","Ensemble","Northern Gulf of Maine","Malacoraja senta",2064,1
"481","2.6","Ensemble","Roseway Bank","Anarhichas lupus",2044,1
"482","2.6","Ensemble","Sable Island Bank","Chionoecetes opilio",2027,1
"483","2.6","Ensemble","Sambro Bank Sponge Conservation Area","Anarhichas lupus",2034,1
"484","2.6","Ensemble","Sambro Bank Sponge Conservation Area","Chionoecetes opilio",2015,1
"485","2.6","Ensemble","Sambro Bank Sponge Conservation Area","Hippoglossoides platessoides",2072,1
"486","2.6","Ensemble","Sambro Bank Sponge Conservation Area","Hippoglossus hippoglossus",2044,1
"487","2.6","Ensemble","Sambro Ledges - Prospect","Chionoecetes opilio",2044,1
"488","2.6","Ensemble","Scotian Gulf","Amblyraja radiata",2048,1
"489","2.6","Ensemble","Scotian Gulf","Anarhichas lupus",2034,1
"490","2.6","Ensemble","Scotian Gulf","Chionoecetes opilio",2015,1
"491","2.6","Ensemble","Scotian Gulf","Hippoglossoides platessoides",2071,1
"492","2.6","Ensemble","Scotian Gulf","Hippoglossus hippoglossus",2044,1
"493","2.6","Ensemble","Scotian Gulf","Malacoraja senta",2071,1
"494","2.6","Ensemble","South Grand Manan","Amblyraja radiata",2048,1
"495","2.6","Ensemble","South Grand Manan","Anarhichas lupus",2027,1
"496","2.6","Ensemble","South Grand Manan","Chionoecetes opilio",2015,1
"497","2.6","Ensemble","South Grand Manan","Hippoglossus hippoglossus",2044,1
"498","2.6","Ensemble","South Grand Manan","Malacoraja senta",2063,1
"499","2.6","Ensemble","St Anns Bank Marine Protected Area","Chionoecetes opilio",2067,1
"500","2.6","Ensemble","The Gully Marine Protected Area","Amblyraja radiata",2077,1
"501","2.6","Ensemble","The Gully Marine Protected Area","Anarhichas lupus",2044,1
"502","2.6","Ensemble","The Gully Marine Protected Area","Chionoecetes opilio",2027,1
"503","2.6","Ensemble","The Gully Marine Protected Area","Hippoglossus hippoglossus",2071,1
"504","2.6","Ensemble","Western Emerald Bank Conservation Area","Hippoglossus hippoglossus",2048,1
"505","2.6","Ensemble","Western Jordan Basin","Amblyraja radiata",2039,1
"506","2.6","Ensemble","Western Jordan Basin","Anarhichas lupus",2015,1
"507","2.6","Ensemble","Western Jordan Basin","Brosme brosme",2048,1
"508","2.6","Ensemble","Western Jordan Basin","Chionoecetes opilio",2015,1
"509","2.6","Ensemble","Western Jordan Basin","Hippoglossoides platessoides",2044,1
"510","2.6","Ensemble","Western Jordan Basin","Hippoglossus hippoglossus",2027,1
"511","2.6","Ensemble","Western Jordan Basin","Malacoraja senta",2044,1
"512","2.6","Ensemble","Western Jordan Basin","Pollachius virens",2071,1
"513","2.6","Ensemble","Western Jordan Basin","Sebastes fasciatus",2063,1
